"","E. intermedius","E. triangulatus","MeanDecreaseAccuracy","MeanDecreaseGini"
"X.OTU.ID.768",4.69017655133654,5.74355079613543,5.54852425759797,3.28102132483611
"X.OTU.ID.11",4.77904934401782,5.06610052997826,5.22496619229429,2.32863114020055
"X.OTU.ID.7",3.91423231658602,4.11105235237544,4.35006249064514,2.3202830184832
"X.OTU.ID.22",2.1864158387511,0.206458523756224,2.35849198334705,0.527145001894278
"X.OTU.ID.886",1.79508005802209,1.53154390687093,2.054531219647,0.439587561643002
"X.OTU.ID.32",1.41392503568186,1.38508672212889,2.02491936010128,0.188921470342523
"X.OTU.ID.1157",1.29481093157789,0.773439663424907,1.39689298301088,0.95689576229443
"X.OTU.ID.928",1.08909834898276,1.42814539995221,1.33002122261094,0.761024476383312
"X.OTU.ID.18",2.01538226974081,-1.00503781525921,1.17129026902726,0.311811586147004
"X.OTU.ID.1207",0.662003339605294,0.908318518210389,1.02551558161693,0.407671037048816
